Category,Name,Price,Type
Desserts,Cappuccino Walnut Brownie,115,Veg
Desserts,Mississippi Mud Pie,124,Veg
Desserts,Chocolate Tart,48,Non Veg
Desserts,Walnut Fudge Tart,124,Veg
Desserts,Apple Pie,124,Non Veg
Desserts,Lemon Tart,48,Veg
Desserts,Red Velvet Muffin,77,Veg
Desserts,Marshmallow,43,Veg
Desserts,Oreo Cookies Fudge,196,Non Veg
Desserts,Kit Kat Sundae,196,Non Veg
Desserts,Walnut Fudge Sundae,196,Veg
Desserts,Red Velvet Sundae,196,Non Veg
Desserts,Ferrero Rocher Fudge Sundae,196,Veg
Desserts,Apple Fudge Sundae,196,Non Veg
Desserts,Brownie Fudge Sundae,196,Veg
Desserts,Hotch Potch Sundae,196,Veg
Desserts,Marshmallow Sundae,196,Veg
Desserts,Almond Fudge Sundae,196,Veg
Desserts,Irish Cream Cheese Cake,115,Veg
Desserts,Blueberry Cheese Cake,115,Non Veg
Desserts,Oreo Cheese Cake,115,Non Veg
Desserts,Baked Choco Cheese Cake,129,Veg
Desserts,Lemon Cheese Cake,124,Veg
Desserts,Chocolate Truffle Cake,110,Veg
Desserts,Red Velvet,115,Veg
Desserts,Pineapple Cake,105,Veg
Desserts,Chocolate Caramel,153,Non Veg
Desserts,Peach & Cream Cake,143,Veg
Desserts,Almond And Choco Fudge Ring 1 Pcs,100,Veg
Desserts,Hotch Potch Cake,115,Veg
Desserts,Kalhua Fantasy,115,Veg
Desserts,Bulls Eye Eggless,115,Non Veg
Desserts,Dutch Truffle 1 Pc Eggless,115,Non Veg
Desserts,Death By Chocolate Cake,115,Non Veg
Desserts,Gooey Mud Cake 1Pc,115,Veg
Desserts,Kit Kat Cake Eggless,115,Non Veg
Desserts,Ferrero Rocher Pcs,120,Veg
Desserts,Tiramisu With Jar,124,Veg
Desserts,Chocolate Mousse Cake,129,Veg
Desserts,Dark Hazelnut Bomb,129,Veg
Desserts,White Hazelnut Bomb,129,Veg
Desserts,Chocolate Kahlua Mousse,143,Veg
Desserts,Honeybuzz,148,Veg
Desserts,Orange Peach Merengue,153,Veg
Desserts,Honey Buzz Fudge,181,Veg
Full Cakes,Dutch Truffle Cake 1/2 Kg,572,Non Veg
Full Cakes,Chocolate Truffle [1/2 Kg],477,Veg
Full Cakes,Ferrero Rocher [1/2 Kg],572,Veg
